County,Positive_Cases,Deaths,Tested
Illinois,41777,1874,201617
Chicago,17109,708,0
Adams,32,0,0
Alexander,2,0,0
Bond,5,1,0
Boone,71,8,0
Bureau,9,0,0
Calhoun,1,0,0
Carroll,9,2,0
Cass,21,0,0
Champaign,102,5,0
Christian,28,4,0
Clark,4,0,0
Clay,2,0,0
Clinton,82,1,0
Coles,22,1,0
Cook,11949,559,0
Crawford,10,0,0
Cumberland,3,0,0
DeKalb,71,1,0
De Witt,1,0,0
Douglas,12,0,0
DuPage,2311,127,0
Effingham,5,1,0
Fayette,16,2,0
Ford,8,1,0
Franklin,8,0,0
Fulton,2,0,0
Gallatin,2,0,0
Greene,2,0,0
Grundy,28,0,0
Hamilton,2,0,0
Hancock,4,0,0
Hardin,1,0,0
Henderson,4,0,0
Henry,36,0,0
Iroquois,16,0,0
Jackson,56,7,0
Jasper,42,2,0
Jefferson,80,2,0
Jersey,12,1,0
Jo Daviess,11,0,0
Johnson,3,0,0
Kane,1049,38,0
Kankakee,299,23,0
Kendall,203,5,0
Knox,31,0,0
Lake,2879,115,0
LaSalle,43,1,0
Lawrence,3,0,0
Lee,19,0,0
Livingston,20,1,0
Logan,4,0,0
McDonough,5,0,0
McHenry,502,28,0
McLean,88,3,0
Macon,100,11,0
Macoupin,28,0,0
Madison,280,16,0
Marion,26,0,0
Marshall,4,0,0
Mason,6,0,0
Massac,3,0,0
Menard,4,0,0
Mercer,7,0,0
Monroe,63,10,0
Montgomery,23,1,0
Morgan,15,1,0
Moultrie,4,0,0
Ogle,85,1,0
Peoria,60,2,0
Perry,7,0,0
Piatt,7,0,0
Pike,1,0,0
Pulaski,15,0,0
Randolph,79,1,0
Richland,3,0,0
Rock Island,293,6,0
St. Clair,363,24,0
Saline,3,0,0
Sangamon,95,6,0
Schuyler,1,0,0
Shelby,9,0,0
Stark,1,0,0
Stephenson,16,0,0
Tazewell,36,3,0
Unassigned,273,1,0
Union,7,0,0
Vermilion,11,0,0
Wabash,1,0,0
Warren,44,0,0
Washington,7,0,0
Wayne,2,0,0
White,1,0,0
Whiteside,59,5,0
Will,2060,131,0
Williamson,22,0,0
Winnebago,302,8,0
Woodford,11,1,0
